	2008_IDH	2008_Corrupcao	2008
Afghanistan	0.37	1.3	45.761
Albania	0.733	3.2	110.665
Algeria	0.686	2.8	14.455
Angola	0.476	1.9	14.469
Argentina	0.786	2.9	14.284
Armenia	0.719	2.7	103.325
Australia	0.924	8.7	2.779
Austria	0.876	7.9	99.475
Bahrain	0.806	5.1	1516.367
Bangladesh	0.484	2.4	1010.28
Barbados	0.792	7.4	632.977
Belarus	0.744	2.4	46.631
Belgium	0.882	7.1	347.293
Benin	0.419	2.9	74.195
Bolivia	0.651	2.7	8.755
Bosnia and Herzegovina	0.73	3.0	73.718
Botswana	0.624	5.6	3.36
Brazil	0.705	3.7	22.497
Brunei	0.834	5.5	66.729
Bulgaria	0.765	3.8	68.445
Burkina Faso	0.321	3.6	56.625
Burundi	0.301	1.8	285.384
Cambodia	0.513	2.0	76.353
Cameroon	0.466	2.2	39.455
Canada	0.903	8.7	3.343
Cape Verde	0.563	5.1	120.846
Central African Republic	0.327	2.0	6.803
Chad	0.316	1.6	8.297
Chile	0.796	6.7	22.198
China	0.665	3.6	138.406
Colombia	0.697	3.7	39.516
Comoros	0.429	2.3	374.548
Congo, Dem. Rep.	0.27	1.9	26.643
Congo, Rep.	0.52	1.9	11.217
Costa Rica	0.737	5.3	88.496
Cote d'Ivoire	0.392	2.1	58.881
Croatia	0.795	4.1	78.149
Cuba	0.767	4.4	101.631
Cyprus	0.827	6.6	116.42
Czech Republic	0.864	4.9	131.582
Denmark	0.891	9.3	127.566
Djibouti	0.421	2.8	36.881
Dominica	0.722	5.9	90.758
Dominican Republic	0.677	3.0	199.232
Ecuador	0.714	2.2	49.572
Egypt	0.633	2.8	78.21
El Salvador	0.668	3.4	291.318
Equatorial Guinea	0.537	1.8	23.612
Estonia	0.832	6.6	29.759
Ethiopia	0.348	2.7	71.943
Finland	0.883	8.9	15.722
France	0.879	6.9	112.599
Gabon	0.66	2.9	5.418
Gambia	0.408	2.9	144.852
Georgia	0.722	4.1	63.042
Germany	0.902	8.0	231.009
Ghana	0.519	3.9	97.53
Greece	0.862	3.8	85.572
Guatemala	0.568	3.4	125.732
Guinea	0.34	1.8	38.881
Guinea-Bissau	0.346	1.9	40.242
Guyana	0.622	2.6	3.496
Haiti	0.445	1.8	350.859
Honduras	0.619	2.5	65.152
Hong Kong, China	0.885	8.2	6302.428
Hungary	0.811	5.1	107.725
Iceland	0.895	8.7	3.016
India	0.527	3.4	362.266
Indonesia	0.598	2.8	123.362
Iran	0.699	1.8	43.86
Iraq	0.564	1.5	68.036
Ireland	0.909	8.0	61.942
Israel	0.882	6.1	320.268
Italy	0.871	4.3	198.765
Jamaica	0.724	3.0	247.501
Japan	0.896	7.7	334.887
Jordan	0.692	5.0	65.467
Kazakhstan	0.729	2.7	5.745
Kenya	0.493	2.2	66.261
Kuwait	0.757	4.1	143.021
Latvia	0.803	4.5	35.158
Lebanon	0.726	2.5	400.665
Lesotho	0.436	3.3	70.084
Liberia	0.328	3.1	32.85
Libya	0.759	2.5	3.495
Lithuania	0.806	4.9	51.452
Luxembourg	0.867	8.2	188.237
Macedonia, FYR	0.725	3.8	79.824
Madagascar	0.483	3.0	33.296
Malawi	0.377	3.3	118.203
Malaysia	0.75	4.5	83.378
Maldives	0.648	2.5	1032.322
Mali	0.346	2.8	11.659
Malta	0.829	5.2	1309.956
Mauritania	0.446	2.5	3.213
Mauritius	0.718	5.4	629.338
Mexico	0.761	3.3	56.494
Moldova	0.644	3.3	107.384
Mongolia	0.641	2.7	1.703
Montenegro	0.771	3.9	45.554
Morocco	0.57	3.3	70.141
Mozambique	0.304	2.5	27.861
Myanmar	0.468	1.4	69.837
Namibia	0.613	4.5	2.669
Nepal	0.443	2.3	196.393
Netherlands	0.904	8.9	397.401
New Zealand	0.904	9.4	15.812
Nicaragua	0.583	2.5	43.351
Niger	0.282	2.9	11.405
Nigeria	0.446	2.5	163.099
Norway	0.941	8.6	12.408
Oman	0.702	5.5	8.52
Pakistan	0.495	2.4	210.329
Panama	0.758	3.4	45.109
Papua New Guinea	0.452	2.1	14.15
Paraguay	0.65	2.1	15.317
Peru	0.712	3.7	22.147
Philippines	0.635	2.4	300.577
Poland	0.804	5.0	118.232
Portugal	0.802	5.8	115.616
Qatar	0.825	7.0	126.915
Romania	0.778	3.8	90.564
Russia	0.748	2.2	8.384
Rwanda	0.411	3.3	379.835
Samoa	0.688	4.5	64.221
Sao Tome and Principe	0.496	2.8	165.822
Saudi Arabia	0.76	4.3	12.172
Senegal	0.451	3.0	59.918
Serbia	0.76	3.5	111.377
Seychelles	0.773	4.8	188.062
Sierra Leone	0.325	2.2	78.229
Singapore	0.855	9.2	6987.139
Slovenia	0.875	6.6	99.633
Solomon Islands	0.514	2.8	17.657
South Africa	0.608	4.7	40.391
Spain	0.871	6.1	89.223
Sri Lanka	0.676	3.1	312.053
Sudan	0.399	1.5	16.528
Suriname	0.672	3.7	3.144
Swaziland	0.512	3.6	66.249
Sweden	0.9	9.2	20.528
Switzerland	0.892	9.0	183.442
Syria	0.629	2.6	106.352
Tajikistan	0.597	2.0	46.76
Tanzania	0.448	2.6	44.724
Thailand	0.672	3.4	133.046
Timor-Leste	0.505	2.2	72.593
Togo	0.426	2.8	101.732
Tonga	0.7	3.0	158.323
Trinidad and Tobago	0.751	3.6	259.462
Tunisia	0.688	4.2	62.633
Turkey	0.691	4.4	90.515
Turkmenistan	0.671	1.8	10.077
Uganda	0.43	2.5	130.018
Ukraine	0.729	2.2	76.183
United Arab Emirates	0.835	6.5	74.242
United Kingdom	0.86	7.7	252.245
United States	0.907	7.5	31.674
Uruguay	0.769	6.7	19.118
Uzbekistan	0.624	1.7	59.928
Venezuela	0.73	1.9	30.763
Vietnam	0.58	2.7	259.134
Yemen	0.444	2.1	42.856
Zambia	0.413	3.0	16.449
Zimbabwe	0.338	2.2	31.865
